cohort_month,period_number,cohort_size,active_customers,retention
2010-01-01,0,383,383,1.0
2010-01-01,1,383,79,0.206266318537859
2010-01-01,2,383,119,0.31070496083550914
2010-01-01,3,383,117,0.30548302872062666
2010-01-01,4,383,101,0.26370757180156656
2010-01-01,5,383,115,0.3002610966057441
2010-01-01,6,383,99,0.2584856396866841
2010-02-01,0,374,374,1.0
2010-02-01,1,374,89,0.23796791443850268
2010-02-01,2,374,84,0.22459893048128343
2010-02-01,3,374,109,0.2914438502673797
2010-02-01,4,374,92,0.24598930481283424
2010-02-01,5,374,75,0.20053475935828877
2010-02-01,6,374,72,0.1925133689839572
2010-03-01,0,443,443,1.0
2010-03-01,1,443,84,0.18961625282167044
2010-03-01,2,443,102,0.23024830699774265
2010-03-01,3,443,107,0.24153498871331827
2010-03-01,4,443,103,0.2325056433408578
2010-03-01,5,443,90,0.20316027088036118
2010-03-01,6,443,109,0.24604966139954854
2010-04-01,0,294,294,1.0
2010-04-01,1,294,57,0.19387755102040816
2010-04-01,2,294,57,0.19387755102040816
2010-04-01,3,294,48,0.16326530612244897
2010-04-01,4,294,54,0.1836734693877551
2010-04-01,5,294,66,0.22448979591836735
2010-04-01,6,294,81,0.2755102040816326
2010-05-01,0,254,254,1.0
2010-05-01,1,254,40,0.15748031496062992
2010-05-01,2,254,43,0.16929133858267717
2010-05-01,3,254,44,0.1732283464566929
2010-05-01,4,254,45,0.17716535433070865
2010-05-01,5,254,65,0.2559055118110236
2010-05-01,6,254,54,0.2125984251968504
2010-06-01,0,270,270,1.0
2010-06-01,1,270,47,0.17407407407407408
2010-06-01,2,270,51,0.18888888888888888
2010-06-01,3,270,55,0.2037037037037037
2010-06-01,4,270,62,0.22962962962962963
2010-06-01,5,270,77,0.2851851851851852
2010-06-01,6,270,34,0.1259259259259259
2010-07-01,0,186,186,1.0
2010-07-01,1,186,29,0.15591397849462366
2010-07-01,2,186,34,0.1827956989247312
2010-07-01,3,186,55,0.2956989247311828
2010-07-01,4,186,54,0.2903225806451613
2010-07-01,5,186,26,0.13978494623655913
2010-07-01,6,186,21,0.11290322580645161
2010-08-01,0,162,162,1.0
2010-08-01,1,162,33,0.2037037037037037
2010-08-01,2,162,48,0.2962962962962963
2010-08-01,3,162,52,0.32098765432098764
2010-08-01,4,162,28,0.1728395061728395
2010-08-01,5,162,19,0.11728395061728394
2010-08-01,6,162,16,0.09876543209876543
2010-09-01,0,243,243,1.0
2010-09-01,1,243,55,0.22633744855967078
2010-09-01,2,243,57,0.2345679012345679
2010-09-01,3,243,30,0.12345679012345678
2010-09-01,4,243,22,0.09053497942386832
2010-09-01,5,243,25,0.102880658436214
2010-09-01,6,243,33,0.13580246913580246
2010-10-01,0,377,377,1.0
2010-10-01,1,377,97,0.2572944297082228
2010-10-01,2,377,55,0.14588859416445624
2010-10-01,3,377,47,0.1246684350132626
2010-10-01,4,377,33,0.08753315649867374
2010-10-01,5,377,31,0.08222811671087533
2010-10-01,6,377,49,0.129973474801061
2010-11-01,0,325,325,1.0
2010-11-01,1,325,57,0.1753846153846154
2010-11-01,2,325,30,0.09230769230769231
2010-11-01,3,325,31,0.09538461538461539
2010-11-01,4,325,25,0.07692307692307693
2010-11-01,5,325,28,0.08615384615384615
2010-11-01,6,325,42,0.12923076923076923
2010-12-01,0,76,76,1.0
