Month,year,calendar_month,revenue,orders,average_order_value,period_type
2009-12-01,2009,12,825685.76,1682,490.8952199762188,partial
2010-01-01,2010,1,652708.502,1105,590.6864271493213,complete
2010-02-01,2010,2,553339.736,1201,460.7325029142382,complete
2010-03-01,2010,3,833570.131,1681,495.8775318262939,complete
2010-04-01,2010,4,681528.992,1462,466.16210123119015,complete
2010-05-01,2010,5,659858.86,1500,439.9059066666667,complete
2010-06-01,2010,6,752270.14,1645,457.3070759878419,complete
2010-07-01,2010,7,650712.94,1529,425.58073250490514,complete
2010-08-01,2010,8,697274.91,1425,489.3157263157895,complete
2010-09-01,2010,9,924333.0109999999,1839,502.628064709081,complete
2010-10-01,2010,10,1165483.91,2301,506.51191221208165,complete
2010-11-01,2010,11,1470272.482,2747,535.2284244630506,complete
2010-12-01,2010,12,1262598.79,2393,527.6217258671124,complete
2011-01-01,2011,1,691364.56,1086,636.6156169429098,complete
2011-02-01,2011,2,523631.89,1100,476.0289909090909,complete
2011-03-01,2011,3,717639.36,1454,493.56214580467673,complete
2011-04-01,2011,4,537808.621,1246,431.62810674157305,complete
2011-05-01,2011,5,770536.02,1681,458.3795478881618,complete
2011-06-01,2011,6,761739.9,1533,496.8949119373777,complete
2011-07-01,2011,7,719221.191,1475,487.60758711864406,complete
2011-08-01,2011,8,759138.38,1361,557.7798530492286,complete
2011-09-01,2011,9,1058590.172,1837,576.2603004899293,complete
2011-10-01,2011,10,1154979.3,2040,566.1663235294118,complete
2011-11-01,2011,11,1509496.33,2769,545.1413253882268,complete
2011-12-01,2011,12,638810.68,819,779.9886202686204,partial
