year,net,in_from_noncapital,in_seoul,in_incheon,in_gyeonggi,out_to_noncapital,out_seoul,out_incheon,out_gyeonggi,source_sheet,source_row_number
1989,327242,777938,466183,66710,245045,450696,266342,38163,146191,8.수도권 인구이동 추이,15
1990,276204,747933,427910,74020,246003,471729,267641,41641,162447,8.수도권 인구이동 추이,16
1991,220581,670219,371929,66784,231506,449638,244737,41844,163057,8.수도권 인구이동 추이,17
1992,169368,613283,331922,60826,220535,443915,235302,45114,163499,8.수도권 인구이동 추이,18
1993,151529,586458,310757,58031,217670,434929,223458,44950,166521,8.수도권 인구이동 추이,19
1994,122441,523568,270349,53329,199890,401127,203788,40713,156626,8.수도권 인구이동 추이,20
1995,69172,515683,256998,50375,208310,446511,221284,47263,177964,8.수도권 인구이동 추이,21
1996,53770,516644,254657,49023,212964,462874,220441,49771,192662,8.수도권 인구이동 추이,22
1997,62469,518745,250243,50613,217889,456276,211485,49103,195688,8.수도권 인구이동 추이,23
1998,9286,479988,231199,46238,202551,470702,219305,49589,201808,8.수도권 인구이동 추이,24
1999,94822,584979,280270,54918,249791,490157,224653,52436,213068,8.수도권 인구이동 추이,25
2000,150252,586363,278392,52871,255100,436111,195515,46583,194013,8.수도권 인구이동 추이,27
2001,136115,585872,271757,53997,260118,449757,199217,48093,202447,8.수도권 인구이동 추이,28
2002,209591,625435,278843,59162,287430,415844,179560,44737,191547,8.수도권 인구이동 추이,29
2003,136904,610572,264820,55314,290438,473668,199355,49703,224610,8.수도권 인구이동 추이,30
2004,140336,588522,252011,52697,283814,448186,186318,46576,215292,8.수도권 인구이동 추이,31
2005,128809,574521,241172,50035,283314,445712,183110,44881,217721,8.수도권 인구이동 추이,32
2006,111700,586440,252647,49987,283806,474740,192251,46399,236090,8.수도권 인구이동 추이,33
2007,82938,578530,251208,53091,274231,495592,199386,50122,246084,8.수도권 인구이동 추이,34
2008,52022,536187,235151,48367,252669,484165,194238,50185,239742,8.수도권 인구이동 추이,35
2009,43987,525000,229523,44417,251060,481013,194923,47841,238249,8.수도권 인구이동 추이,36
2010,31026,507549,211674,44090,251785,476523,191513,47772,237238,8.수도권 인구이동 추이,38
2011,-8450,480485,201211,43761,235513,488935,194272,46977,247686,8.수도권 인구이동 추이,39
2012,6900,475042,199590,44317,231135,468142,185853,45550,236739,8.수도권 인구이동 추이,40
2013,-4384,446672,187601,42264,216807,451056,179407,45784,225865,8.수도권 인구이동 추이,41
2014,-21111,451661,191490,42156,218015,472772,187405,47315,238052,8.수도권 인구이동 추이,42
2015,-32950,450074,186775,42173,221126,483024,192906,49140,240978,8.수도권 인구이동 추이,43
2016,-863,448066,186844,41254,219968,448929,179439,45836,223654,8.수도권 인구이동 추이,44
2017,16006,446809,187154,40789,218866,430803,169698,44375,216730,8.수도권 인구이동 추이,45
2018,59797,469950,194396,41809,233745,410153,160592,41123,208438,8.수도권 인구이동 추이,46
2019,82741,475549,198767,42689,234093,392808,152590,40642,199576,8.수도권 인구이동 추이,47
2020,87775,494723,205230,42346,247147,406948,159122,42772,205054,8.수도권 인구이동 추이,49
2021,55697,470631,189571,40757,240303,414934,160391,42075,212468,8.수도권 인구이동 추이,50
2022,36643,422720,178692,38075,205953,386077,142298,38572,205207,8.수도권 인구이동 추이,51
2023,46869,414945,170384,39798,204763,368076,136092,36727,195257,8.수도권 인구이동 추이,52
2024,45169,418019,168299,41328,208392,372850,138200,37858,196792,8.수도권 인구이동 추이,53
2025,38465,418501,168561,42575,207365,380036,141659,38292,200085,8.수도권 인구이동 추이,54
