year,youth_movers,total_movers,total_mobility_rate,15-19,20-24,25-29,30-34,35-39,40-44,youth_share_of_movers
2005,4046027,8795397,18.066655246,14.055255254,20.907132382,30.593266819,26.565306973,19.911092421,16.320664715,0.4600164154045576
2006,4240173,9342074,19.109515496,14.779994888,21.974843626,32.063956296,28.290507912,21.497262364,17.45375671,0.4538791921365641
2007,4053814,9070102,18.461299912,14.611349652,21.408031315,31.197639533,27.288414159,20.687923993,17.198069487,0.4469424930392183
2008,3845323,8808256,17.828800238,14.323245336,20.204837874,29.589993871,26.702702594,20.308438677,16.777970843,0.4365589510568267
2009,3612981,8487275,17.091883731,13.957345868,18.83165279,27.860538429,26.031508224,19.84491027,16.552407952,0.4256938770099944
2010,3500491,8226594,16.492832812,13.533929657,18.463113418,27.394258238,26.105650506,19.536122277,16.010295321,0.42550914752812646
2011,3395788,8127195,16.218231129,13.769632607,18.273076167,26.84248034,26.059178748,19.23820171,15.694833416,0.41783026000975737
2012,3149878,7506691,14.9104033,12.628645624,17.194002833,25.394031329,24.708889421,17.918882511,14.447496085,0.4196093858132698
2013,3071958,7411784,14.659686775,12.456990979,16.80453044,24.630180976,24.584083162,18.122665993,14.355983646,0.41446944487319115
2014,3141665,7629098,15.028808885,12.669232569,17.628093306,25.267174822,25.36626606,18.903612073,14.78719757,0.4118003202999883
2015,3177806,7755286,15.220852509,12.906577367,18.472206392,26.005202798,25.471755514,19.283577352,15.052843327,0.40976000111407884
2016,3056753,7378430,14.435533117,12.097989863,18.079777428,25.376011975,24.614584926,18.521561429,14.076415634,0.41428230666957605
2017,2994584,7154226,13.964723186,11.874593785,17.870400882,25.165630315,24.230619676,18.242684165,13.713345328,0.41857553843001327
2018,3079664,7297099,14.224120522,11.945574309,18.51795376,26.362581449,24.898772692,18.782110433,14.041907889,0.42203949816221487
2019,3059581,7104398,13.838633586,12.111165947,19.254511523,26.766013471,24.602821748,18.186354086,13.693708455,0.43066013475033355
2020,3335303,7735491,15.064464708,12.710754512,21.83799295,28.93049715,27.042058354,20.073404081,15.219883248,0.43116888119965496
2021,3165198,7213422,14.05214277,11.95578744,21.71986589,28.48286461,25.554813528,18.436003594,13.892399258,0.4387928503281799
2022,2759867,6152155,12.002062071,10.860883246,20.423883752,25.394770103,22.209942611,15.750979943,11.779240809,0.4486016688461198
2023,2751786,6128738,11.98285649,10.838146691,20.207348762,24.917029365,23.24251095,16.812991756,12.132958012,0.44899716711662335
2024,2826405,6283319,12.311240576,11.309470596,21.700087434,25.711661993,24.108935802,17.519787425,12.553630813,0.44982675557297025
2025,2761243,6117784,12.010031616,11.26780255,22.36919104,25.887510949,23.377131224,16.973712427,12.212269395,0.45134692561881884
