year,age_band,mobility_rate
2005,20-24,20.907132382
2006,20-24,21.974843626
2007,20-24,21.408031315
2008,20-24,20.204837874
2009,20-24,18.83165279
2010,20-24,18.463113418
2011,20-24,18.273076167
2012,20-24,17.194002833
2013,20-24,16.80453044
2014,20-24,17.628093306
2015,20-24,18.472206392
2016,20-24,18.079777428
2017,20-24,17.870400882
2018,20-24,18.51795376
2019,20-24,19.254511523
2020,20-24,21.83799295
2021,20-24,21.71986589
2022,20-24,20.423883752
2023,20-24,20.207348762
2024,20-24,21.700087434
2025,20-24,22.36919104
2005,25-29,30.593266819
2006,25-29,32.063956296
2007,25-29,31.197639533
2008,25-29,29.589993871
2009,25-29,27.860538429
2010,25-29,27.394258238
2011,25-29,26.84248034
2012,25-29,25.394031329
2013,25-29,24.630180976
2014,25-29,25.267174822
2015,25-29,26.005202798
2016,25-29,25.376011975
2017,25-29,25.165630315
2018,25-29,26.362581449
2019,25-29,26.766013471
2020,25-29,28.93049715
2021,25-29,28.48286461
2022,25-29,25.394770103
2023,25-29,24.917029365
2024,25-29,25.711661993
2025,25-29,25.887510949
2005,30-34,26.565306973
2006,30-34,28.290507912
2007,30-34,27.288414159
2008,30-34,26.702702594
2009,30-34,26.031508224
2010,30-34,26.105650506
2011,30-34,26.059178748
2012,30-34,24.708889421
2013,30-34,24.584083162
2014,30-34,25.36626606
2015,30-34,25.471755514
2016,30-34,24.614584926
2017,30-34,24.230619676
2018,30-34,24.898772692
2019,30-34,24.602821748
2020,30-34,27.042058354
2021,30-34,25.554813528
2022,30-34,22.209942611
2023,30-34,23.24251095
2024,30-34,24.108935802
2025,30-34,23.377131224
2005,35-39,19.911092421
2006,35-39,21.497262364
2007,35-39,20.687923993
2008,35-39,20.308438677
2009,35-39,19.84491027
2010,35-39,19.536122277
2011,35-39,19.23820171
2012,35-39,17.918882511
2013,35-39,18.122665993
2014,35-39,18.903612073
2015,35-39,19.283577352
2016,35-39,18.521561429
2017,35-39,18.242684165
2018,35-39,18.782110433
2019,35-39,18.186354086
2020,35-39,20.073404081
2021,35-39,18.436003594
2022,35-39,15.750979943
2023,35-39,16.812991756
2024,35-39,17.519787425
2025,35-39,16.973712427
2005,40-44,16.320664715
2006,40-44,17.45375671
2007,40-44,17.198069487
2008,40-44,16.777970843
2009,40-44,16.552407952
2010,40-44,16.010295321
2011,40-44,15.694833416
2012,40-44,14.447496085
2013,40-44,14.355983646
2014,40-44,14.78719757
2015,40-44,15.052843327
2016,40-44,14.076415634
2017,40-44,13.713345328
2018,40-44,14.041907889
2019,40-44,13.693708455
2020,40-44,15.219883248
2021,40-44,13.892399258
2022,40-44,11.779240809
2023,40-44,12.132958012
2024,40-44,12.553630813
2025,40-44,12.212269395
