sido,net_total,net_youth_20_39,net_20s,net_30s,typology,typology_ko,region_group
경기,32970,21053,7439,13614,Dual Magnet,청년 유입형,수도권
서울,-26769,17207,35937,-18730,Early Career Magnet,초입 유입·후기 유출형,수도권
인천,32264,12472,5004,7468,Dual Magnet,청년 유입형,수도권
충북,10789,2543,450,2093,Dual Magnet,청년 유입형,비수도권
대전,2824,2433,2248,185,Dual Magnet,청년 유입형,비수도권
세종,-47,1245,294,951,Dual Magnet,청년 유입형,비수도권
충남,8266,292,-1133,1425,Family Settle,후기 정착형,비수도권
울산,-5474,-1112,-1154,42,Family Settle,후기 정착형,비수도권
제주,-4273,-2446,-2198,-248,Youth Outflow,청년 유출형,비수도권
강원,-1387,-4177,-3765,-412,Youth Outflow,청년 유출형,비수도권
전남,1334,-4197,-5094,897,Family Settle,후기 정착형,비수도권
대구,-4272,-4673,-4884,211,Family Settle,후기 정착형,비수도권
전북,-3575,-6074,-5439,-635,Youth Outflow,청년 유출형,비수도권
부산,-12181,-7228,-4510,-2718,Youth Outflow,청년 유출형,비수도권
광주,-13678,-8034,-5227,-2807,Youth Outflow,청년 유출형,비수도권
경남,-7577,-8545,-9129,584,Family Settle,후기 정착형,비수도권
경북,-9214,-10759,-8839,-1920,Youth Outflow,청년 유출형,비수도권
